"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Tawaf_Ablation_Model.nlogo"
"ablation_stage0_full_density_sweep"
"07/15/2026 15:33:42:001 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-15","15"
"[run number]","population","base-speed","speed-variation","homogeneous-radius?","avoidance?","density-speed?","sensing-radius","[step]","count turtles","sd-radius","lane-count 0.5 3","overlaps","mean-nn","edge-fraction 0.5","mean-speed"
"3","450","0.8","0.1","true","false","false","3","13","450","2.95545534547045","2","222","0.5880672491018059","0.008888888888888889","0.8480931355245567"
"6","1050","0.8","0.1","true","false","false","3","3","1050","3.4117935932149903","4","847","0.3962248471464891","0.05142857142857143","0.8511160176141828"
"4","450","0.8","0.1","true","false","false","3","15","450","2.9442994358570953","3","237","0.5738895499573908","0.013333333333333334","0.8492451859985699"
"5","450","0.8","0.1","true","false","false","3","12","450","3.011938736672198","3","246","0.5856665249285892","0.03111111111111111","0.8512379351699998"
"3","450","0.8","0.1","true","false","false","3","14","450","2.9147097920385385","4","236","0.5944702347138336","0.008888888888888889","0.8480931355245551"
"1","450","0.8","0.1","true","false","false","3","12","450","3.116987242306665","1","250","0.5694329623574672","0.024444444444444446","0.8493513102584983"
"2","450","0.8","0.1","true","false","false","3","13","450","2.9887387259135134","5","239","0.5917497966848089","0.017777777777777778","0.8502828740653355"
"4","450","0.8","0.1","true","false","false","3","16","450","2.90495330377328","2","250","0.5688352868579821","0.011111111111111112","0.8492451859985698"
"1","450","0.8","0.1","true","false","false","3","13","450","3.0774429780578583","1","245","0.5714951971667266","0.022222222222222223","0.8493513102584984"
"4","450","0.8","0.1","true","false","false","3","17","450","2.867166638349268","2","246","0.5649839385973257","0.011111111111111112","0.8492451859985691"
"2","450","0.8","0.1","true","false","false","3","14","450","2.9508721820010573","3","237","0.592156779617459","0.015555555555555555","0.8502828740653358"
"4","450","0.8","0.1","true","false","false","3","18","450","2.8310943804645374","4","259","0.5663123011334983","0.011111111111111112","0.8492451859985699"
"3","450","0.8","0.1","true","false","false","3","15","450","2.8750100071779228","2","227","0.5921421943190145","0.008888888888888889","0.848093135524556"
"5","450","0.8","0.1","true","false","false","3","13","450","2.9742499068980646","2","239","0.5865339900504654","0.02666666666666667","0.8512379351700006"
"1","450","0.8","0.1","true","false","false","3","14","450","3.0392666575034246","4","247","0.5734534252755618","0.022222222222222223","0.8493513102584981"
"2","450","0.8","0.1","true","false","false","3","15","450","2.911930611643103","4","236","0.5847445035584216","0.011111111111111112","0.8502828740653361"
"4","450","0.8","0.1","true","false","false","3","19","450","2.795015193730211","4","252","0.5668380106158952","0.008888888888888889","0.8492451859985702"
"5","450","0.8","0.1","true","false","false","3","14","450","2.9349422375219576","3","229","0.5768294469745905","0.02666666666666667","0.85123793517"
"1","450","0.8","0.1","true","false","false","3","15","450","3.0027489051748373","4","263","0.5677359587260786","0.017777777777777778","0.8493513102584983"
"2","450","0.8","0.1","true","false","false","3","16","450","2.874205928208134","2","238","0.5773146901448989","0.011111111111111112","0.8502828740653351"
"3","450","0.8","0.1","true","false","false","3","16","450","2.8372857223818184","2","232","0.5919359551248423","0.008888888888888889","0.8480931355245557"
"6","1050","0.8","0.1","true","false","false","3","4","1050","3.3734767138524253","4","844","0.3922240155529096","0.0419047619047619","0.8511160176141825"
"4","450","0.8","0.1","true","false","false","3","20","450","2.756876546634619","3","248","0.5622159455165978","0.008888888888888889","0.8492451859985698"
